key,jp,en
login_err1,ユーザーまたはパスワードが違います。,
login_err2,3回以上パスワードの入力に失敗したためロックされました。パスワードの変更を行ってください。,
selection_err1,{1}は必須選択です。,
input_checker1,{1}は必須入力です。,
input_checker2,{1}の桁数が長すぎます。,
input_checker3,{1}の入力タイプが不正です。英数のみ入力できます。,
input_checker4,{1}の入力タイプが不正です。数値のみ入力できます。,
input_checker5,{1}の入力タイプが不正です。英数と一部の記号のみ入力できます。,
input_checker6,{1}の入力タイプが不正です。数値と一部の記号のみ入力できます。,
input_checker7,{1}に使用できない文字が含まれています。,
input_checker8,{1}の入力タイプが不正です。英数と一部の記号のみ入力できます。,
input_checker9,{1}の入力タイプが不正です。メールアドレスの形式に一致しません。,
input_checker10,{1}に使用できない文字が含まれています。,
input_err1,{1}は必須入力です。,
input_err2,{1}が確認用と一致していません。,
input_err3,{1}のピリオド後の桁数が長すぎます。,
input_err4,日報情報に不正が見つかりました。条件を今一度確認して下さい。なお、同じ作業日の日報は作成できません。,
input_err5,開始時刻は終了時刻より前を選択して下さい。,
input_err6,{1}の日付範囲が不正です。,
input_err7,過去の日付は入力できません。,
upfile_err1,ファイルが選択されていません。,
confirm1,入力された内容で登録を行います。\r\nよろしいですか？,
overlap_err1,その{1}は既に登録されています。,
overlap_err2,既に同一のデータが登録されています。,
search1,{1}件見つかりました。,
search2,検索結果が{1}件を超えています。{2}件表示しています。,
search_err1,日数には数値を入力してください。,
qty_err1,{1}には0より大きい数値を入力してください。
setting_err1,データを1件以上入力してください。,
setting_ok,登録を完了しました。,
no_entry,現在この依頼にエントリーはありません。,
#
overlap_err2,その{1}は既にユーザー登録されています。,
password_err1,パスワードがパスワード(確認用)と一致しません。,
#
file_upload_err1,{1}が指定されていないか、アップロードできる最大値({2})を超えています。,
file_upload_err2,{1}のファイル拡張子は｢jpg.jpeg.png.gif｣のみになります。,
upfile_err1,ファイルのアップロードに失敗しました。,
upfile_err2,対応していないファイルが選択されています。,
image_nouplord,画像の変更は行いません,
login_mailerr1,入力されたIDまたはメールアドレスは登録されていません。,
accsess_err1,URLの有効期限が切れています。お手数ですが最初からやり直してください。,
accsess_err2,不正なアクセスです。お手数ですが最初からやり直してください。,
