key,jp,en
login_err1,ログインIDまたはパスワードが違います。,
selection_err1,{1}は必須選択です。,
input_checker1,{1}は必須入力です。,
input_checker2,{1}の桁数が長すぎます。,
input_checker3,{1}の入力タイプが不正です。英数のみ入力できます。,
input_checker4,{1}の入力タイプが不正です。数値のみ入力できます。,
input_checker5,{1}の入力タイプが不正です。英数と一部の記号のみ入力できます。,
input_checker6,{1}の入力タイプが不正です。数値と一部の記号のみ入力できます。,
input_checker7,{1}に使用できない文字が含まれています。,
input_checker8,{1}の入力タイプが不正です。英数と一部の記号のみ入力できます。,
input_checker9,{1}の入力内容が不正です。,
input_checker10,{1}の入力内容が不正です。,
input_err1,{1}は必須入力です。,
input_err3,{1}は登録されていないデータです。
overlap_err1,既に登録されている{1}です。,
sales_err1,{1}の範囲が不正です。,
pass_input_err1,{1} が一致していません。,
file_upload_err1,{1}が指定されていないか、アップロードできる最大値({2})を超えています。,
file_upload_err2,{1}のファイル拡張子は｢jpg.jpeg.png.bmp｣のみになります。,
logmsgerr1,IDが存在しません。,
logmsgerr2,IDまたはパスワードが違います。,
data_err,データがありません。,
search_info1,{1}件のデータが見つかりました。,
select_err1,{1}が選択されていません。,
found_err1,{1}が見つかりません。,
nothing_err1,{1}がありません。,

qty_err,{1}の注文数量の入力内容が正しくありません。,
date_err,配達日の範囲は2日後～2ヶ月後で指定してください。,
time_err,配達時間の範囲は午前8時から午後6時の範囲で指定してください。,
price_err,ご注文はお料理総額 10000円（＋税）以上より承ります。,

complete1,設定を完了しました。,
complete2,削除を完了しました。,

koumoku_isset,項目の追加を行ってください。

template_load,テンプレートの読込を行いました。,

dish1_1,天ぷら盛り合わせ、さわら照り焼、巻き海老、味噌松風、メロン、だし巻き玉子、サーモンマリネ、お刺身、ヒロメの煮物、黒豆煮、桜海老昆布ご飯、香の物,
dish1_2,カニなます、天ぷら盛り合わせ、ヒロメの煮物、茄子田楽、お刺身、果物、季節のサラダ、だし巻き玉子、ローストビーフ、菜飯,
dish1_3,杏仁豆腐、季節の果物２種、ヒロメの煮物、きんぴらレンコン、フライ盛り合わせ、海老ポテト焼、さわら照り焼、とろ湯葉、だし巻き玉子、青菜のお浸し、お刺身、ローストビーフ、梅山ごぼう、季節のご飯、香の物,
dish1_4,さわら照り焼、果物、しめじの胡麻和え、だし巻き玉子、南瓜茶巾揚げ、ヒロメの煮物、青菜のお浸し、ホタテ煮、海老アーモンドフライ（トマトソース）、鯛そぼろご飯、香の物,
dish1_5,フライ盛り合わせ、さわら照り焼、青菜のお浸し、茄子田楽、果物、しめじの胡麻和え、鴨スモーク、だし巻き玉子、ヒロメの煮物、鯛そぼろご飯、香の物,
dish1_6,だし巻き玉子、季節の果物２種、きんぴらレンコン、海老アーモンドフライ（トマトソース）、お刺身、海老ポテト焼、南瓜茶巾揚げ、もずく酢、鴨黒胡椒焼、ヒロメの煮物、五目飯,
dish1_7,梅山ごぼう、ひじき煮、果物、だし巻き玉子、フライ盛り合わせ、さわら照り焼、きんぴらレンコン、青菜のお浸し、香の物、お刺身、鯛そぼろご飯、ちらし寿司、ヒロメの煮物,
dish1_8,煮たまご、白身魚の幽庵焼、里芋鯛そぼろ、鶏香草焼き、サーモンマリネ、肉焼売、茄子オランダ煮、季節のサラダ、エメラルド冬瓜餡かけ、牛すきご飯,
dish1_9,天ぷら盛り合わせ、季節の果物２種、鮭と豆腐～パイと共に～、鴨黒胡椒焼、だし巻き玉子、海老ポテト焼、南瓜茶巾湯葉あん、ヒロメの煮物、梅山ごぼう、鯛そぼろご飯、ちらし寿司、香の物,
dish1_10,黒豆煮、煮たまご、鮭幽庵焼、きんぴらレンコン、油淋鶏、カニなます、青菜のお浸し、ヒロメの煮物、鶏ごぼうご飯、香の物,
dish1_11,鮭幽庵焼、きんぴらレンコン、ポテトサラダ、だし巻き玉子、ひじき煮、豚生姜焼、海老フライ、ヒロメの煮物、五目御飯、十六穀ご飯、鯛そぼろご飯、香の物,
dish1_12,きんぴらレンコン、メロン、海老アーモンドフライ（トマトソース）、ヒロメの煮物、だし巻き玉子、鴨黒胡椒焼、味噌松風、海老ポテト焼、鮭幽庵焼、もずく酢、ちらし寿司、鯛そぼろご飯、香の物,
dish1_13,季節のサラダ、季節の果物２種、ローストビーフ、蒸し野菜、さわら照り焼、だし巻き玉子甘鯛の南蛮漬け、青菜のお浸し、きんぴらレンコン、桜海老昆布ご飯、牛そぼろご飯,
dish2_1,季節の果物２種、季節の饅頭、甘鯛ときのこの奉書焼、天ぷら盛り合わせ、エメラルド冬瓜蒸し、さわら照り焼、海老ポテト雲丹焼、床節煮、胡麻豆腐、味噌松風、黒豆煮、ヒロメの煮物、サーモンマリネ、鴨黒胡椒焼、だし巻き玉子、刺身盛り合わせ、ご飯、吸い物、香の物,
